season,team,games,total_points,ppg,plays,total_epa,mean_epa,total_yards,games_est,yards_per_game,epa_per_play
2010,NYJ,16,367.0,22.9375,1110,-19.614056870141265,-0.0176703215046317,5628.0,16,351.75,-0.0176703215046317
2010,PHI,16,439.0,27.4375,1060,82.50354250364364,0.0778335306638147,6245.0,16,390.3125,0.0778335306638147
2010,PIT,16,375.0,23.4375,1013,37.39395223775792,0.0369140693363849,5537.0,16,346.0625,0.0369140693363849
2010,SEA,16,310.0,19.375,983,-112.70524645261492,-0.1146543707554577,4721.0,16,295.0625,-0.1146543707554577
2010,SF,16,305.0,19.0625,971,-52.75759918362312,-0.0543332638348332,5019.0,16,313.6875,-0.0543332638348332
2010,TB,16,341.0,21.3125,980,44.31255802887674,0.0452168959478334,5373.0,16,335.8125,0.0452168959478334
2010,TEN,16,356.0,22.25,941,-16.18389844747304,-0.0171986168410978,4846.0,16,302.875,-0.0171986168410978
2010,WAS,16,302.0,18.875,1035,-81.27908280400727,-0.0785305147864804,5386.0,16,336.625,-0.0785305147864804
2011,ARI,16,312.0,19.5,1017,-79.97598523569003,-0.0786391201924189,5202.0,16,325.125,-0.0786391201924189
2011,ATL,16,402.0,25.125,1100,49.58879745666356,0.0450807249606032,6055.0,16,378.4375,0.0450807249606032
2011,BAL,16,378.0,23.625,1060,44.33693991846144,0.0418273018098692,5442.0,16,340.125,0.0418273018098692
2011,BUF,16,372.0,23.25,1029,-0.4871175774121488,-0.0004733892880584,5610.0,16,350.625,-0.0004733892880584
2011,CAR,16,406.0,25.375,1032,105.95209541845487,0.1026667591264097,6250.0,16,390.625,0.1026667591264097
2011,CHI,16,353.0,22.0625,999,-108.78945679689704,-0.108898355152049,5033.0,16,314.5625,-0.108898355152049
2011,CIN,16,344.0,21.5,1059,-32.400997151994446,-0.0305958424475868,5126.0,16,320.375,-0.0305958424475868
2011,CLE,16,218.0,13.625,1050,-96.73871893073536,-0.092132113267367,4580.0,16,286.25,-0.092132113267367
2011,DAL,16,369.0,23.0625,1032,48.29661107232639,0.0467990417367503,6020.0,16,376.25,0.0467990417367503
2011,DEN,16,309.0,19.3125,1058,-93.43907723362234,-0.0883167081603235,5079.0,16,317.4375,-0.0883167081603235
